"""@title"",""Français"""
"""#01108"",""=#00982"""
"""#01109"",""=#00984"""
"""#01110"",""=#00986"""
"""#01111"",""=#00988"""
"""#01112"",""=#00990"""
"""#01113"",""=#00992"""
"""#01114"",""=#00994"""
"""#01115"",""=#00996"""
"""#01116"",""=#00998"""
"""#01117"",""=#01000"""
"""#01118"",""=#01002"""
"""#01119"",""=#01004"""
"""#01120"",""=#01006"""
"""#01121"",""=#01008"""
"""#01122"",""=#01010"""
"""#01123"",""=#01012"""
"""#01124"",""=#01015"""
"""#01125"",""=#01018"""
"""#01126"",""=#01021"""
"""#01127"",""=#01024"""
"""#01128"",""=#01027"""
"""#01129"",""=#01030"""
"""#01130"",""=#01033"""
"""#01131"",""=#01037"""
"""#01132"",""=#01039"""
"""#01133"",""=#01041"""
"""#01134"",""=#01044"""
"""#01135"",""=#01046"""
"""#01136"",""=#01048"""
"""#01137"",""=#01051"""
"""#01138"",""=#01055"""
"""#01139"",""=#01058"""
"""#01140"",""=#01061"""
"""#01141"",""=#01063"""
"""#01142"",""=#01065"""
"""#01143"",""=#01067"""
"""#01144"",""=#01070"""
"""#01145"",""=#01073"""
"""#01146"",""=#01075"""
"""#01147"",""<co=0070c0>Pool Slide Story</co><br>Dans ce jeu de simulation, vous construisez et gérez un parc aquatique. Faites-en un lieu de loisirs fantastique qui attirera beaucoup de visiteurs ! »"
",""▼ Game Flow<br>Créez des piscines, des restaurants et diverses attractions, pour devenir un <pic=pic_icon_star0> parc aquatique 5 étoiles.<br>Répondre aux souhaits des visiteurs est essentiel pour continuer à développer votre parc."""
",""▼ Visiteurs<br>Vous obtenez des <pic=pic_icon_satisfied00> points de satisfaction lorsque les visiteurs sont satisfaits de vos piscines, restaurants et attractions. Remplissez la jauge de satisfaction et les visiteurs publieront des articles sur votre parc en ligne."""
",""▼ Réseaux sociaux 1<br>Vos visiteurs peuvent publier des articles sur votre parc aquatique sur les réseaux sociaux. Lorsque cela se produit, vous obtiendrez <pic=pic_nicePoint> j'aime en fonction de la popularité de votre parc et du nombre de personnes qui le visitent. Vous pouvez également """"j'aime"""" les messages soumis par d'autres utilisateurs."""
",""▼ Social Media 2<br><pic=pic_nicePoint> Les likes n'affectent pas seulement la popularité de votre parc, mais aussi la facilité avec laquelle vous obtenez de nouveaux visiteurs et l'évaluation de votre parc lors de la demande de certificats."""
",""▼ Souhaits des visiteurs<br>Les clients satisfaits voudront partager leurs commentaires avec vous. Réalisez leurs souhaits et ils tomberont encore plus amoureux de votre parc !"""
",""▼ Piscines<br>Outre leur popularité et leur taille, les piscines se caractérisent également par leur <pic=pic_icon_poolAttribute0> couleur, <pic=pic_icon_poolAttribute1>l'odeur et <pic=pic_icon_poolAttribute2> la température.<br>Utilisez des éléments pour modifier ces caractéristiques selon vos besoins. pour satisfaire vos visiteurs et réussir les tests de certification."""
",""▼ Éléments de pool<br>Certains éléments peuvent être utilisés sur les pools pour modifier leurs caractéristiques.<br>Ces éléments ne sont actifs que pendant un certain temps, après quoi ils expirent et disparaissent."""
",""▼ Piscine <pic=pic_icon_poolAttribute0> Couleur<br>Utilisez des éléments pour changer la couleur de l'eau dans une piscine.<br>Vous pouvez mélanger plusieurs couleurs pour en créer différentes.<br>Certaines couleurs ne peuvent être obtenues que sous certaines conditions. conditions."""
",""▼ Piscine <pic=pic_icon_poolAttribute1> Odeur<br> L'odeur est affectée par les objets utilisés dans une piscine et ses installations voisines. L'odeur la plus forte autour de la piscine deviendra l'odeur de la piscine."""
",""▼ Piscine <pic=pic_icon_poolAttribute2> Température<br>La popularité des piscines chaudes et fraîches change en fonction de la saison. Une température de l'eau confortable prolongera la durée de séjour des visiteurs."""
", ""▼ Intensité des couleurs et des parfums<br>Les couleurs et les parfums de la piscine ont une intensité variable. Atteindre une certaine intensité peut être nécessaire pour réussir certains tests de certificat."""
",""▼ Popularité<br>La popularité peut être augmentée grâce à l'utilisation d'articles et via l'effet des installations voisines.<br>La popularité augmente la satisfaction des clients."""
",""▼ Piscines intérieures et extérieures<br><pic=pic_icon_sun> Les piscines extérieures sont plus attrayantes en été, mais leur popularité diminue en hiver, lorsque le temps se refroidit."""
",""▼ Campagnes<br>Les campagnes peuvent augmenter la popularité de votre parc aquatique.<br>Les publicités et les services de bus ont un temps de recharge avant d'être à nouveau disponibles."""
",""▼ Création de nouvelles recettes<br>Vous pouvez sélectionner jusqu'à cinq ingrédients lors de la cuisson. Combinez les bons ingrédients pour préparer des aliments et des boissons.<br>Essayez de mélanger différentes choses pour découvrir ce qui fonctionne bien ensemble. """
",""▼ Food Stats<br><pic=pic_icon_cookParam0> Saveur : plus la saveur est élevée, plus la restauration de HP est importante.<br><pic=pic_icon_cookParam1> Apparence : meilleure est l'apparence, plus le produit se vend rapidement. <br><pic=pic_icon_cookParam2> Popularité : plus la popularité est élevée, plus les clients sont satisfaits de leur achat."""
", ""▼ Niveau de cuisine<br>Plus vous cuisinez, plus votre niveau de cuisson est élevé. À des niveaux plus élevés, vous pourrez cuisiner des aliments avec de meilleures statistiques et vous débloquerez plus de recettes."""
",""▼ Le quartier<br>Vos clients viennent des zones autour de votre parc. Au fur et à mesure que vous vous développez, vous découvrirez de nouvelles zones pour attirer des visiteurs."""
",""▼ Certificats<br>Les essais de certification ont lieu au printemps et à l'automne.<br>Les juges examinent divers aspects des piscines, tels que leur popularité ou leur couleur.<br>Obtenir des certifications est bon pour la réputation de votre parc, et il y a aussi des prix."""
", ""▼ Classement supérieur<br>Vous devrez satisfaire à des exigences spécifiques pour vous classer.<br>Le classement supérieur débloque plus d'articles à vendre dans la boutique, et vous pouvez également obtenir des prix luxueux."""
",""▼ Fin du jeu<br>La partie principale du jeu se termine à l'hiver de la 8ème année, et c'est à ce moment-là que votre score est calculé, mais vous pouvez continuer à jouer aussi longtemps que vous le souhaitez."""
",""▼ New Game+<br>Vous pouvez commencer une New Game+ après avoir terminé le jeu une fois, en conservant certaines des données de votre partie précédente. Il est beaucoup plus facile d'obtenir un meilleur score!"""
", ""(À propos de ce jeu)"""
"""#01148"",""a00_0.seb"""
"""#01149"",""a00_1.seb"""
"""#01150"",""a01_0.seb"""
"""#01151"",""a01_1.seb"""
"""#01152"",""a02_0.seb"""
"""#01153"",""a02_1.seb"""
"""#01154"",""a99_plage.seb"""
"""#01155"",""a99_beach_dummy.seb"""
"""#01156"",""a99_conner00_leftTop.seb"""
"""#01157"",""a99_conner01_rightTop.seb"""
"""#01158"",""a99_conner02_rightBtm.seb"""
"""#01159"",""a99_conner03_leftBtm.seb"""
"""#01160"",""b00.seb"""
"""#01161"",""b01.seb"""
"""#01162"",""b01_1.seb"""
"""#01163"",""b02.seb"""
"""#01164"",""b03.seb"""
"""#01165"",""b04.seb"""
"""#01166"",""b05.seb"""
"""#01167"",""b06.seb"""
"""#01168"",""b07.seb"""
"""#01169"",""b08.seb"""
"""#01170"",""b09.seb"""
"""#01171"",""b10.seb"""
"""#01172"",""b11.seb"""
"""#01173"",""c01_0.seb"""
"""#01174"",""c02_0.seb"""
"""#01175"",""c03_0.seb"""
"""#01176"",""c04_0.seb"""
"""#01177"",""c05_0.seb"""
"""#01178"",""c06_0.seb"""
"""#01179"",""c07_0.seb"""
"""#01180"",""c08_0.seb"""
"""#01181"",""c09_0.seb"""
"""#01182"",""c10_0.seb"""
"""#01183"",""c11_0.seb"""
"""#01184"",""c12_0.seb"""
"""#01185"",""c13_0.seb"""
"""#01186"",""c14_0.seb"""
"""#01187"",""c15_0.seb"""
"""#01188"",""c16_0.seb"""
"""#01189"",""c17_0.seb"""
"""#01190"",""c18_0.seb"""
"""#01191"",""c19_0.seb"""
"""#01192"",""c20_0.seb"""
"""#01193"",""c21_0.seb"""
"""#01194"",""c22_0.seb"""
"""#01195"",""c23_0.seb"""
"""#01196"",""c26_0.seb"""
"""#01197"",""c27_0.seb"""
"""#01198"",""c28_0.seb"""
"""#01199"",""c29_0.seb"""
"""#01200"",""c30_0.seb"""
"""#01201"",""c31_0.seb"""
"""#01202"",""c32_0.seb"""
"""#01203"",""c33_0.seb"""
"""#01204"",""c34_0.seb"""
"""#01205"",""c35_0.seb"""
"""#01206"",""c36_0.seb"""
"""#01207"",""c37_0.seb"""
"""#01208"",""c38_0.seb"""
"""#01209"",""c39_0.seb"""
"""#01210"",""c40_0.seb"""
"""#01211"",""c41_0.seb"""
"""#01212"",""c42_0.seb"""
"""#01213"",""c43_0.seb"""
"""#01214"",""c44_0.seb"""
"""#01215"",""c45_0.seb"""
"""#01216"",""c46_0.seb"""
"""#01217"",""c47_0.seb"""
"""#01218"",""c48_0.seb"""
"""#01219"",""c49_0.seb"""
"""#01220"",""c50_0.seb"""
"""#01221"",""c51_0.seb"""
"""#01222"",""c52_0.seb"""
"""#01223"",""c53_0.seb"""
"""#01224"",""c54_0.seb"""
"""#01225"",""c55_0.seb"""
"""#01226"",""c56_0.seb"""
"""#01227"",""c57_0.seb"""
"""#01228"",""c58_0.seb"""
"""#01229"",""c59_0.seb"""
"""#01230"",""c60_0.seb"""
"""#01231"",""c61_0.seb"""
"""#01232"",""c62_0.seb"""
"""#01233"",""c63_0.seb"""
"""#01234"",""c64_0.seb"""
"""#01235"",""c65_0.seb"""
"""#01236"",""c66_0.seb"""
"""#01237"",""c67_0.seb"""
"""#01238"",""c68_0.seb"""
"""#01239"",""c69_0.seb"""
"""#01240"",""c70_0.seb"""
"""#01241"",""c71_0.seb"""
"""#01242"",""c72_0.seb"""
"""#01243"",""c73_0.seb"""
"""#01244"",""c74_0.seb"""
"""#01245"",""c75_0.seb"""
"""#01246"",""c76_0.seb"""
"""#01247"",""c77_0.seb"""
"""#01248"",""c78_0.seb"""
"""#01249"",""c79_0.seb"""
"""#01250"",""c80_0.seb"""
"""#01251"",""c81_0.seb"""
"""#01252"",""c82_0.seb"""
"""#01253"",""c83_0.seb"""
"""#01254"",""c84_0.seb"""
"""#01255"",""c85_0.seb"""
"""#01256"",""c86_0.seb"""
"""#01257"",""c87_0.seb"""
"""#01258"",""c88_0.seb"""
"""#01259"",""c89_0.seb"""
"""#01260"",""c90_0.seb"""
"""#01261"",""c91_0.seb"""
"""#01262"",""c92_0.seb"""
"""#01263"",""c93_0.seb"""
"""#01264"",""c94_0.seb"""
"""#01265"",""c95_0.seb"""
"""#01266"",""c96_0.seb"""
"""#01267"",""c97_0.seb"""
"""#01268"",""c98_0.seb"""
"""#01269"",""c99_0.seb"""
"""#01270"",""cc00_0.seb"""
"""#01271"",""cc01_0.seb"""
"""#01272"",""cc02_0.seb"""
"""#01273"",""cc03_0.seb"""
"""#01274"",""cc04_0.seb"""
"""#01275"",""cc05_0.seb"""
"""#01276"",""cc06_0.seb"""
"""#01277"",""cc07_0.seb"""
"""#01278"",""cc08_0.seb"""
"""#01279"",""cc09_0.seb"""
"""#01280"",""cc10_0.seb"""
"""#01281"",""cc11_0.seb"""
"""#01282"",""cc12_0.seb"""
"""#01283"",""cc13_0.seb"""
"""#01284"",""cc14_0.seb"""
"""#01285"",""cc15_0.seb"""
"""#01286"",""cc16_0.seb"""
"""#01287"",""cc17_0.seb"""
"""#01288"",""cc18_0.seb"""
"""#01289"",""cc19_0.seb"""
"""#01290"",""cc20_0.seb"""
"""#01291"",""cc21_0.seb"""
"""#01292"",""cc22_0.seb"""
"""#01293"",""cc23_0.seb"""
"""#01294"",""cc24_0.seb"""
"""#01295"",""cc25_0.seb"""
"""#01296"",""cc26_0.seb"""
"""#01297"",""cc27_0.seb"""
"""#01298"",""cc28_0.seb"""
"""#01299"",""cc29_0.seb"""
"""#01300"",""cc30_0.seb"""
"""#01301"",""d01_0.seb"""
"""#01302"",""d02_0.seb"""
"""#01303"",""d03_0.seb"""
"""#01304"",""d04_0.seb"""
"""#01305"",""d05_0.seb"""
"""#01306"",""d06_0.seb"""
"""#01307"",""d07_0.seb"""
"""#01308"",""d08_0.seb"""
"""#01309"",""d09_0.seb"""
"""#01310"",""d10_0.seb"""
"""#01311"",""d11_0.seb"""
"""#01312"",""d12_0.seb"""
"""#01313"",""d13_0.seb"""
"""#01314"",""d14_0.seb"""
"""#01315"",""d15_0.seb"""
"""#01316"",""d16_0.seb"""
"""#01317"",""d17_0.seb"""
"""#01318"",""d18_0.seb"""
"""#01319"",""d19_0.seb"""
"""#01320"",""d20_0.seb"""
"""#01321"",""d21_0.seb"""
"""#01322"",""d22_0.seb"""
"""#01323"",""d23_0.seb"""
"""#01324"",""d24_0.seb"""
"""#01325"",""d25_0.seb"""
"""#01326"",""e00_0.seb"""
"""#01327"",""e00_1.seb"""
"""#01328"",""e01_0.seb"""
"""#01329"",""e01_1.seb"""
"""#01330"",""e02_0.seb"""
"""#01331"",""e02_1.seb"""
"""#01332"",""e03_0.seb"""
"""#01333"",""e03_1.seb"""
"""#01334"",""e04_0.seb"""
"""#01335"",""e04_1.seb"""
"""#01336"",""e05_0.seb"""
"""#01337"",""e05_1.seb"""
"""#01338"",""f00_0.seb"""
"""#01339"",""f00_1.seb"""
"""#01340"",""f00_2.seb"""
"""#01341"",""f00_3.seb"""
"""#01342"",""g00_0.seb"""
"""#01343"",""g00_1.seb"""
"""#01344"",""g00_2.seb"""
"""#01345"",""g00_3.seb"""
"""#01346"",""g01_0.seb"""
"""#01347"",""g02_0.seb"""
"""#01348"",""g03_0.seb"""
"""#01349"",""h00_0.seb"""
"""#01350"",""h01_0.seb"""
"""#01351"",""h02_0.seb"""
"""#01352"",""h03_0.seb"""
"""#01353"",""h04_0.seb"""
"""#01354"",""h05_0.seb"""
"""#01355"",""h06_0.seb"""
"""#01356"",""h07_0.seb"""
"""#01357"",""h08_0.seb"""
"""#01358"",""h09_0.seb"""
"""#01359"",""h10_0.seb"""
"""#01360"",""h11_0.seb"""
"""#01361"",""h12_0.seb"""
"""#01362"",""h13_0.seb"""
"""#01363"",""h14_0.seb"""
"""#01364"",""h15_0.seb"""
"""#01365"",""h16_0.seb"""
"""#01366"",""h17_0.seb"""
"""#01367"",""h18_0.seb"""
"""#01368"",""h19_0.seb"""
"""#01369"",""h20_0.seb"""
"""#01370"",""h21_0.seb"""
"""#01371"",""h22_0.seb"""
"""#01372"",""h23_0.seb"""
"""#01373"",""h24_0.seb"""
"""#01374"",""h25_0.seb"""
"""#01375"",""h26_0.seb"""
"""#01376"",""h27_0.seb"""
"""#01377"",""h28_0.seb"""
"""#01378"",""h29_0.seb"""
"""#01379"",""h30_0.seb"""
"""#01380"",""i01_0.seb"""
"""#01381"",""i02_0.seb"""
"""#01382"",""i03_0.seb"""
"""#01383"",""i04_0.seb"""
"""#01384"",""j00_0.seb"""
"""#01385"",""j01_0.seb"""
"""#01386"",""j02_0.seb"""
"""#01387"",""j03_0.seb"""
"""#01388"",""j04_0.seb"""
"""#01389"",""j05_0.seb"""
"""#01390"",""j06_0.seb"""
"""#01391"",""j07_0.seb"""
"""#01392"",""j08_0.seb"""
"""#01393"",""j09_0.seb"""
"""#01394"",""j10_0.seb"""
"""#01395"",""j11_0.seb"""
"""#01396"",""j12_0.seb"""
"""#01397"",""j13_0.seb"""
"""#01398"",""j14_0.seb"""
"""#01399"",""j15_0.seb"""
"""#01400"",""j16_0.seb"""
"""#01401"",""j17_0.seb"""
"""#01402"",""j18_0.seb"""
"""#01403"",""j19_0.seb"""
"""#01404"",""j20_0.seb"""
"""#01405"",""j21_0.seb"""
"""#01406"",""j22_0.seb"""
"""#01407"",""Maintenant ouvert : <0> !"""
"""#01408"", ""Bonjour à tous ! Je travaille pour <0> en tant qu'assistant. <0> est un nouveau parc aquatique en banlieue. En fait, nous venons tout juste d'ouvrir, mais nous sommes le premier parc de ce genre dans la région.<br> J'ai réussi à interviewer une habitante du quartier, lui demandant ce qu'elle pensait de <0>.<br> """" Un nouveau parc ? Près de chez moi ? Super, je n'aurai pas à y aller donc loin de promener mon chien.""""<br> Euh... <0> est un parc aquatique... Avec des piscines et des toboggans, ce genre de chose. Quoi qu'il en soit, venez le voir, tout le monde!"""
"""#01409"",""Suivez-nous en ligne"""
"""#01410"", ""Bonjour, c'est moi, l'assistant de <0> ! J'ai créé un compte pour le parc aquatique sur les sites de médias sociaux, il est donc plus facile que jamais d'obtenir les dernières nouvelles, y compris des informations sur de nouvelles installations et attractions dans le parc !<br> Suivez-nous pour ne rien manquer !<br> Nous avons également une campagne promotionnelle spéciale en ce moment ! Lorsque vous achetez vos billets pour le parc, informez-en notre personnel que vous nous avez suivis en ligne pour obtenir une serviette de toilette gratuite !<br> Je vous attendrai dans <0> !"
"""#01411"",""Piscine Gourmet"""
"""#01412"", ""Bonjour, c'est encore moi, l'assistant de <0> !<br> Nous avons reçu beaucoup de commentaires de visiteurs demandant d'élargir le menu de nos stands de nourriture, et c'est exactement ce que nous avons fait ! <br> De plus, le célèbre chef expérimental Duckie, qui est également chanteur folk à temps partiel, nous aidera avec les nouveaux menus ! Venez vous baigner, et de la bonne nourriture aussi !"""
"""#01413"",""L'été dans la nage des choses"""
"""#01414"", ""Bonjour à tous, j'espère que vous profitez du beau temps d'été autant que nous sommes ici à <0> !<br> Les vacances d'été ont commencé. Comment allez-vous les passer les enfants ? Camping à la montagne, aller au bord de la mer ? Mais il n'est pas nécessaire d'aller loin pour passer un bon moment. Il suffit de venir dans notre parc aquatique, où le plaisir est garanti !"""
"""#01415"",""Nage en plein air"""
"""#01416"", ""Bonjour, c'est encore moi, l'assistant de <0>, qui vous apporte les dernières nouvelles de notre parc aquatique !<br> Nous avons maintenant une piscine extérieure ! Rien de mieux que de nager au soleil par une belle journée. <br> Venez l'essayer. Vous allez en devenir accro!"""
"""#01417"",""De vraies couleurs"""
"""#01418"", ""Bonjour à tous ! Chez <0> nous visons à apporter plus de couleur à votre vie et donc... nous avons créé des piscines colorées !<br> Oui, c'est vrai ! Maintenant, nous proposons des piscines en des couleurs vives et fraîches. Venez profiter d'une toute nouvelle expérience de natation !"""
"""#01419"", ""Nager dans l'arc-en-ciel"""
"""#01420"", ""Bonjour, chers fans de <0>! Grande nouvelle aujourd'hui!<br>Par essais et erreurs, nous avons enfin découvert le secret pour teindre l'eau de piscine de la couleur de l'arc-en-ciel. C'est vrai, l'eau est tout sept couleurs à la fois, brillantes et merveilleuses comme une potion magique d'un conte de fées !<br> J'ai demandé à une athlète célèbre qui visitait notre parc aquatique ce qu'elle pensait de la piscine arc-en-ciel.<br> """"Pas de commentaire"", a-t-elle répondu . Eh bien, eh bien ! Même cette célébrité était tellement émerveillée qu'elle n'en avait plus les mots !"""
"""#01421"", ""Allez avec le courant"""
"""#01422"", ""Bonjour les nageurs, les plongeurs, tous les fans de plaisir aquatique !<br> Vous avez parfois juste envie d'aller avec le courant, de flotter sans effort sans flotteur ?<br> J'ai des nouvelles pour vous ! Avec notre toute nouvelle piscine à jets, c'est exactement ce que vous pouvez faire ! Laissez le courant vous emporter ou, si vous êtes prêt à relever un défi et un entraînement sérieux, essayez de nager contre lui !<br> Venez à <0> et découvrez la piscine à jets bassin!"""
"""#01423"", ""Détendez-vous dans le bain à remous"""
"""#01424"",""Bonjour tout le monde ! Comment ça va ? Vous souffrez de maux de dos à force de rester assis trop longtemps devant votre PC ?<br> Eh bien, venez à <0> et détendez-vous dans notre nouveau bain à remous ! Laissez-vous masser par des jets puissants enlevez tous les nœuds dans votre dos.<br> Vous vous sentirez revigoré par la suite ! Ou attendez, était-ce censé avoir un effet calmant ? Quoi qu'il en soit, c'est vraiment bon pour vous ! Venez l'essayer !"""
"""#01425"",""Sièges à louer"""
"""#01426"", ""Bonjour tout le monde ! Certains d'entre vous se sont plaints de la difficulté à trouver des places libres.<br> Vous êtes déjà revenu après avoir acheté un en-cas et vous avez trouvé votre place occupée par quelqu'un d'autre ? Ou il semble que tout le monde a la même chose idée de sortir de la piscine pour se reposer ?<br> Ne vous inquiétez plus ! <0> propose désormais des places payantes. Louez une place pour une somme modique et c'est à vous pour la journée ! Pas de stress, seulement du plaisir dans notre parc ! """
"""#01427"",""Coulissage rapide"""
"""#01428"",""Bonjour à tous ! Les toboggans sont vraiment ce qui fait un parc aquatique, n'êtes-vous pas d'accord ?<br> <0> propose désormais un toboggan aquatique passionnant ! Il est si rapide que vous crierez de joie, tout comme le garçon que j'ai interviewé le jour où nous avons dévoilé le nouveau toboggan aquatique.<br> """" C'était tellement rapide ! J'ai bien aimé. Mais quand je suis allé SPLASH dans la piscine, j'ai avalé de l'eau de piscine... Et je... je fait pipi dans la piscine avant...""""<br> Mon conseil est de ne jamais faire pipi dans une piscine!"""
"""#01429"",""Été pour toujours"""
"""#01430"", ""Bonjour, chers <0> visiteurs actuels et futurs !<br> Souhaitez-vous pouvoir partir en vacances sur une île tropicale ? Mais le budget est serré ? Maintenant, vous pouvez vivre l'expérience à très bas prix, sans jamais en quittant la ville !<br> <0> a tout pour plaire, y compris un palmier qui transportera votre esprit et votre cœur sur une plage ensoleillée pendant que vous vous prélassez au bord de la piscine pour bronzer."""
"""#01431"",""Étoiles brillantes"""
"""#01432"", ""Woohoo! <0> est maintenant officiellement un parc aquatique 5 étoiles!<br> Je tiens à remercier tous nos chers visiteurs qui ont aimablement partagé leurs commentaires et suggestions avec nous, nous permettant d'améliorer et rendre le parc beaucoup plus amusant pour tout le monde.<br> Nous maintiendrons les normes élevées et ferons tout notre possible pour rester votre parc aquatique préféré !"""
"""#01433"",""Performance à ne pas manquer"""
"""#01434"",""Bonjour tout le monde ! Êtes-vous allé à <0> dernièrement ?<br> Vous avez peut-être remarqué que maintenant nous avons Kairobot qui effectue des tours d'eau dans notre parc. Ce n'est qu'une des nombreuses copies de Kairobot, bien sûr.< br> Nous avons fait appel à un expert en feng shui, qui a dit avec conviction que le Kairobot performant augmente votre chance avec de l'argent ! Venez tester par vous-même si cela est vrai !"
"""#01435"",""1 000 visiteurs !"""
"""#01436"", ""Bonjour à tous ! Plus tôt dans la journée, nous à <0> avons célébré notre millième visiteur !<br> La personne en question était un jeune étudiant qui est venu au parc aquatique avec sa mère. J'ai réussi à obtenir un court interview !<br> """"J'étais un peu fauché cette semaine, alors j'ai traîné ma mère avec moi jusqu'à la piscine et je lui ai fait payer les billets... Je suis tellement content maintenant de l'avoir fait !""""<br> Nous décidé de rembourser le billet, par sympathie pour la maman..."""
"""#01437"",""10 000 visiteurs !"""
"""#01438"", ""Bonjour tout le monde ! Nous avons eu notre 10 000ème visiteuse, une dame qui a fait tout le chemin de la capitale !<br> Elle est venue avec son mari qui avait l'air plutôt grincheux et n'était pas trop content de tout agitation au début. Mais ensuite, il s'est égayé lorsque nous avons offert à sa femme une caisse de noix de coco gratuite.<br> """" Il y a d'autres parcs aquatiques plus près de chez moi, mais mes amis ont insisté <0> c'est une toute autre histoire. J'ai décidé de venir ici et je n'ai pas été déçu ! J'adore l'ambiance tropicale !""""<br> Nous faisons toujours de notre mieux pour dépasser les attentes de nos visiteurs !"""
"""#01439"",""100 000 visiteurs !"""
"""#01440"", ""Bonjour à tous ! C'est un grand jour pour nous à <0>, car nous venons d'avoir notre 100 000e visiteur !<br> Nous avons organisé une petite fête impromptue pour célébrer cette occasion, et avons offert tout le monde présent avec un jeune marronnier d'Inde.<br> L'heureux visiteur est un professeur d'arts ninja, âgé de 70 ans.<br> """" Je viens ici pour pratiquer l'art ancien de courir sur l'eau pour lequel mon clan est célèbre. ne fonctionnait que lorsque la température est bien en dessous de zéro, pour une raison quelconque... Quoi qu'il en soit, merci pour le jeune arbre. Les marronniers épineux seront utiles pour l'entraînement de mon petit-fils à courir sur des choses épineuses. """"<br> Nous a demandé au petit-fils de 7 ans s'il voulait aussi devenir un ninja à l'avenir, mais il a dit qu'il aimerait être un pirate, en fait."""
"""#01441"",""Une renommée croissante"""
"""#01442"", ""Bonjour à tous ! Grâce à votre parrainage, <0> a été inscrit dans la liste des 100 meilleurs parcs aquatiques du pays !<br> Continuez à visiter notre parc aquatique, s'il vous plaît ! Que vous souhaitiez vous détendre ou recherchez une journée active, <0> est le meilleur endroit où aller ! Rendez-vous au bord de la piscine !"""
"""#01443"",""Monter dans les rangs"""
"""#01444"",""Bonjour tout le monde ! Avez-vous suivi le classement national des parcs aquatiques ?<br> <0> est arrivé dans le top 10 ! Woohoo !<br> Nous l'avons annoncé sur le système audio de notre parc et a demandé aux visiteurs des commentaires.<br> """"Désolé, je plongeais, qu'est-ce que c'était?"", A déclaré un jeune nageur. """"Oh, tu es arrivé dans le top 10? Ah. C'est cool, je suppose.""""< br> Nous sommes ravis que vous soyez aussi excité que nous par ce résultat phénoménal !"""
"""#01445"",""Le meilleur parc aquatique"""
"""#01446"",""Bonjour à tous ! C'est une journée merveilleuse, et nous, à <0>, sommes fous de joie et d'excitation !<br> <0> a été classé le parc aquatique numéro 1 du pays !<br > Le président de la Pool Association ne tarit pas d'éloges sur notre parc.<br> """" J'ai vu plus de parcs aquatiques que je ne m'en souviens. Aucun ne peut se comparer à <0>. Là encore, j'ai oublié à quoi ressemblaient les autres parcs concurrents ...""""<br> Ce qui compte, c'est que nous ayons obtenu un score complet et à en juger par les commentaires de nos visiteurs, c'était bien mérité!"""
"""#01447"",""=#00554"""
"""#01448"",""Édifiant."""
"""#01449"",""Jaune"""
"""#01450"",""=#01449"""
"""#01451"",""Revivifiant."""
"""#01452"",""Chaux"""
"""#01453"", ""Relaxant."""
"""#01454"",""Vert"""
"""#01455"",""Rafraîchissant comme une promenade en forêt."""
"""#01456"",""=#00552"""
"""#01457"", ""Apaisant comme une mer douce."""
"""#01458"",""Violet"""
"""#01459"", ""A une ambiance mystérieuse."""
"""#01460"",""=#00550"""
"""#01461"", ""Cutesy. Populaire auprès des jeunes filles."""
"""#01462"",""Rouge"""
"""#01463"",""Une couleur stimulante."""
"""#01464"",""Naturel"""
"""#01465"",""Pas de couleurs artificielles."""
"""#01466"",""Blanc"""
"""#01467"",""Laiteux."""
"""#01468"",""Arc-en-ciel"""
"""#01469"",""=#01468"""
"""#01470"",""Mélange exaltant de couleurs."""
"""#01471"",""nom00"""
"""#01472"",""Meilleur&Tendance&Populaire"""
"""#01473"",""=MID(#01471,1,-2)&'01'"""
"""#01474"",""Grand&Large&Grand&Énorme"""
"""#01475"",""=MID(#01471,1,-2)&'02'"""
"""#01476"",""Chaud&chauffé&chaud&grillé"""
"""#01477"",""=MID(#01471,1,-2)&'03'"""
"""#01478"",""Froid&Froid&Froid&Glacé"""
"""#01479"",""Non parfumé"""
"""#01480"",""Pas même un soupçon de chlore."""
"""#01481"",""Agrumes"""
"""#01482"",""Frais et apaisant."""
"""#01483"",""=#00915"""
"""#01484"",""Doux, avec un soupçon d'acidité."""
"""#01485"",""Tropical"""
"""#01486"",""Vous fait penser aux îles tropicales."""
"""#01487"",""Fruité"""
"""#01488"",""Délicieusement fruité."""
"""#01489"",""=#00945"""
"""#01490"", ""Riche et crémeuse."""
"""#01491"",""=#01068"""
"""#01492"",""Excitant et sensuel."""
"""#01493"",""Cookie"""
"""#01494"",""L'eau à la bouche."""
"""#01495"",""=#00969"""
"""#01496"", ""Vous réveille."""
"""#01497"",""Fleurie"""
"""#01498"",""Comme être dans une prairie fleurie."""
"""#01499"",""Pin"""
"""#01500"",""Odeur balsamique d'une pinède."""
"""#01501"",""Marine"""
"""#01502"",""Parfum marin salé."""
"""#01503"",""Argent"""
"""#01504"",""Bénéfice"""
"""#01505"",""=#01503"""
"""#01506"",""Vous apporte une fortune financière."""
"""#01507"", ""Les fleurs s'épanouissent tout autour."""
"""#01508"", ""Les piscines aux couleurs chaudes sont plus populaires pendant les saisons chaudes."""
"""#01509"",""Il y a tellement d'énergie dans l'air!"""
"""#01510"",""Les restaurants qui servent des boissons, des collations, des plats principaux et des desserts sont plus populaires !"""
"""#01511"", ""J'ai entendu dire qu'il y a des parfums qui boostent votre chance !"""
"""#01512"",""Il fait vraiment chaud et ensoleillé !"""
