"@title", "Français"
"#01124","=#01015"
"#01125","=#01018"
"#01126","=#01021"
"#01127","=#01024"
"#01128","=#01027"
"#01129","=#01030"
"#01130","=#01033"
"#01131","=#01037"
"#01132","=#01039"
"#01133","=#01041"
"#01134","=#01044"
"#01135","=#01046"
"#01136","=#01048"
"#01137","=#01051"
"#01138","=#01055"
"#01139","=#01058"
"#01140","=#01061"
"#01141","=#01063"
"#01142","=#01065"
"#01143","=#01067"
"#01144","=#01070"
"#01145","=#01073"
"#01146","=#01075"
"# 01147", "<co = 0070c0> Pool Slide Story </co> <br> Dans ce jeu de simulation, vous construisez et gérez un parc aquatique. Faites-en un fantastique lieu de loisirs qui attirera de nombreux visiteurs!"
, "▼ Game Flow <br> Construisez des piscines, des restaurants et diverses attractions, pour devenir un <pic = pic_icon_star0> parc aquatique 5 étoiles. <br> Répondre aux souhaits des visiteurs est essentiel pour continuer à développer votre parc."
, "▼ Visiteurs <br> Vous obtenez <pic = pic_icon_satisfied00> points de satisfaction lorsque les visiteurs sont satisfaits de vos piscines, restaurants et attractions. Remplissez la jauge de satisfaction et les visiteurs publieront en ligne sur votre parc."
, "▼ Réseaux sociaux 1 <br> Vos visiteurs peuvent publier des articles sur votre parc aquatique sur les réseaux sociaux. Lorsque cela se produit, vous obtiendrez <pic = pic_nicePoint> J'aime en fonction de la popularité de votre parc et du nombre de visiteurs. Vous pouvez aussi "" aime "" les messages soumis par d'autres utilisateurs. "
, "▼ Réseaux sociaux 2 <br> <pic = pic_nicePoint> Les" J'aime "n'affectent pas seulement la popularité de votre parc, mais aussi la facilité avec laquelle vous obtenez de nouveaux visiteurs et l'évaluation de votre parc lors de la demande de certificats."
, "▼ Souhaits des visiteurs <br> Les clients satisfaits voudront partager leurs commentaires avec vous. Réalisez leurs souhaits et ils tomberont encore plus amoureux de votre parc!"
, "▼ Piscines <br> Outre leur popularité et leur taille, les piscines sont également caractérisées par leur couleur <pic = pic_icon_poolAttribute0>, <pic = pic_icon_poolAttribute1> parfum et <pic = pic_icon_poolAttribute2> température. <br> Utilisez des éléments pour modifier ces fonctionnalités si nécessaire pour satisfaire vos visiteurs et réussir les essais de certification. "
, "▼ Objets de pool <br> Certains objets peuvent être utilisés sur des pools pour modifier leurs fonctionnalités. <br> Ces objets ne sont actifs que pendant un certain temps, après quoi ils expirent et disparaissent."
, "▼ Piscine <pic = pic_icon_poolAttribute0> Couleur <br> Utilisez des éléments pour changer la couleur de l'eau dans une piscine. <br> Vous pouvez mélanger plusieurs couleurs pour en créer différentes. <br> Certaines couleurs ne peuvent être obtenues que sous certaines conditions."
, "▼ Piscine <pic = pic_icon_poolAttribute1> Parfum <br> L'odeur est affectée par les objets utilisés dans une piscine et ses installations voisines. L'odeur la plus forte autour de la piscine deviendra l'odeur de la piscine."
, "▼ Piscine <pic = pic_icon_poolAttribute2> Température <br> La popularité des piscines chaudes et froides change en fonction de la saison. Une température de l'eau confortable permettra aux visiteurs de rester plus longtemps."
, "▼ Intensité de la couleur et du parfum <br> Les couleurs et les parfums de la piscine ont une intensité variable. Il peut être nécessaire d'atteindre une certaine intensité pour réussir certains essais de certificat."
, "▼ Popularité <br> La popularité peut être augmentée grâce à l'utilisation d'articles et grâce à l'effet des installations voisines. <br> La popularité augmente la satisfaction des clients."
, "▼ Piscines intérieure et extérieure <br> <pic = pic_icon_sun> Les piscines extérieures sont plus attrayantes en été, mais leur popularité diminue en hiver, lorsque le temps devient froid."
, "▼ Campagnes <br> Les campagnes peuvent augmenter la popularité de votre parc aquatique. <br> Les publicités et les services de bus ont un temps de recharge avant d'être à nouveau disponibles."
, "▼ Création de nouvelles recettes <br> Vous pouvez sélectionner jusqu'à cinq ingrédients lors de la cuisson. Combinez les bons ingrédients pour préparer des aliments et des boissons. <br> Essayez de mélanger différentes choses pour découvrir ce qui fonctionne bien ensemble."
, "▼ Statistiques sur les aliments <br> <pic = pic_icon_cookParam0> Saveur: plus la saveur est élevée, plus la nourriture ou la boisson restaure de HP. <br> <pic = pic_icon_cookParam1> Apparence: meilleure est l'apparence, plus le produit se vend rapidement. <br> <pic = pic_icon_cookParam2> Popularité: plus la popularité est élevée, plus les clients sont satisfaits de leur achat. "
, "▼ Niveau de cuisson <br> Plus vous cuisinez, plus votre niveau de cuisine augmente. Aux niveaux supérieurs, vous pourrez cuisiner des aliments avec de meilleures statistiques, et vous débloquerez plus de recettes."
, "▼ Le quartier <br> Vos clients viennent des zones autour de votre parc. Au fur et à mesure de votre expansion, vous découvrirez de nouvelles zones pour attirer les visiteurs."
, "▼ Certificats <br> Les essais de certification ont lieu au printemps et à l'automne. <br> Les juges examinent divers aspects des piscines, comme leur popularité ou leur couleur. <br> Obtenir des certifications est bon pour la réputation de votre parc, et il y a aussi des prix. "
, "▼ Classement vers le haut <br> Vous devrez répondre à des exigences spécifiques pour vous classer. <br> Le classement vers le haut débloque plus d'articles à vendre dans la boutique, et vous pouvez également obtenir des prix luxueux."
, "▼ Fin du jeu <br> La partie principale du jeu se termine à l'hiver de la 8e année, et c'est à ce moment-là que votre score est calculé, mais vous pouvez continuer à jouer aussi longtemps que vous le souhaitez."
, "▼ Nouveau jeu + <br> Vous pouvez démarrer un nouveau jeu + après avoir terminé le jeu une fois, en conservant certaines des données de votre partie précédente. Il est beaucoup plus facile d'obtenir un meilleur score!"
, "(À propos de ce jeu)"
"#01148","a00_0.seb"
"#01149","a00_1.seb"
"#01150","a01_0.seb"
"#01151","a01_1.seb"
"#01152","a02_0.seb"
"#01153","a02_1.seb"
"#01154","a99_beach.seb"
"#01155","a99_beach_dummy.seb"
"#01156","a99_conner00_leftTop.seb"
"#01157","a99_conner01_rightTop.seb"
"#01158","a99_conner02_rightBtm.seb"
"#01159","a99_conner03_leftBtm.seb"
"#01160","b00.seb"
"#01161","b01.seb"
"#01162","b01_1.seb"
"#01163","b02.seb"
"#01164","b03.seb"
"#01165","b04.seb"
"#01166","b05.seb"
"#01167","b06.seb"
"#01168","b07.seb"
"#01169","b08.seb"
"#01170","b09.seb"
"#01171","b10.seb"
"#01172","b11.seb"
"#01173","c01_0.seb"
"#01174","c02_0.seb"
"#01175","c03_0.seb"
"#01176","c04_0.seb"
"#01177","c05_0.seb"
"#01178","c06_0.seb"
"#01179","c07_0.seb"
"#01180","c08_0.seb"
"#01181","c09_0.seb"
"#01182","c10_0.seb"
"#01183","c11_0.seb"
"#01184","c12_0.seb"
"#01185","c13_0.seb"
"#01186","c14_0.seb"
"#01187","c15_0.seb"
"#01188","c16_0.seb"
"#01189","c17_0.seb"
"#01190","c18_0.seb"
"#01191","c19_0.seb"
"#01192","c20_0.seb"
"#01193","c21_0.seb"
"#01194","c22_0.seb"
"#01195","c23_0.seb"
"#01196","c26_0.seb"
"#01197","c27_0.seb"
"#01198","c28_0.seb"
"#01199","c29_0.seb"
"#01200","c30_0.seb"
"#01201","c31_0.seb"
"#01202","c32_0.seb"
"#01203","c33_0.seb"
"#01204","c34_0.seb"
"#01205","c35_0.seb"
"#01206","c36_0.seb"
"#01207","c37_0.seb"
"#01208","c38_0.seb"
"#01209","c39_0.seb"
"#01210","c40_0.seb"
"#01211","c41_0.seb"
"#01212","c42_0.seb"
"#01213","c43_0.seb"
"#01214","c44_0.seb"
"#01215","c45_0.seb"
"#01216","c46_0.seb"
"#01217","c47_0.seb"
"#01218","c48_0.seb"
"#01219","c49_0.seb"
"#01220","c50_0.seb"
"#01221","c51_0.seb"
"#01222","c52_0.seb"
"#01223","c53_0.seb"
"#01224","c54_0.seb"
"#01225","c55_0.seb"
"#01226","c56_0.seb"
"#01227","c57_0.seb"
"#01228","c58_0.seb"
"#01229","c59_0.seb"
"#01230","c60_0.seb"
"#01231","c61_0.seb"
"#01232","c62_0.seb"
"#01233","c63_0.seb"
"#01234","c64_0.seb"
"#01235","c65_0.seb"
"#01236","c66_0.seb"
"#01237","c67_0.seb"
"#01238","c68_0.seb"
"#01239","c69_0.seb"
"#01240","c70_0.seb"
"#01241","c71_0.seb"
"#01242","c72_0.seb"
"#01243","c73_0.seb"
"#01244","c74_0.seb"
"#01245","c75_0.seb"
"#01246","c76_0.seb"
"#01247","c77_0.seb"
"#01248","c78_0.seb"
"#01249","c79_0.seb"
"#01250","c80_0.seb"
"#01251","c81_0.seb"
"#01252","c82_0.seb"
"#01253","c83_0.seb"
"#01254","c84_0.seb"
"#01255","c85_0.seb"
"#01256","c86_0.seb"
"#01257","c87_0.seb"
"#01258","c88_0.seb"
"#01259","c89_0.seb"
"#01260","c90_0.seb"
"#01261","c91_0.seb"
"#01262","c92_0.seb"
"#01263","c93_0.seb"
"#01264","c94_0.seb"
"#01265","c95_0.seb"
"#01266","c96_0.seb"
"#01267","c97_0.seb"
"#01268","c98_0.seb"
"#01269","c99_0.seb"
"#01270","cc00_0.seb"
"#01271","cc01_0.seb"
"#01272","cc02_0.seb"
"#01273","cc03_0.seb"
"#01274","cc04_0.seb"
"#01275","cc05_0.seb"
"#01276","cc06_0.seb"
"#01277","cc07_0.seb"
"#01278","cc08_0.seb"
"#01279","cc09_0.seb"
"#01280","cc10_0.seb"
"#01281","cc11_0.seb"
"#01282","cc12_0.seb"
"#01283","cc13_0.seb"
"#01284","cc14_0.seb"
"#01285","cc15_0.seb"
"#01286","cc16_0.seb"
"#01287","cc17_0.seb"
"#01288","cc18_0.seb"
"#01289","cc19_0.seb"
"#01290","cc20_0.seb"
"#01291","cc21_0.seb"
"#01292","cc22_0.seb"
"#01293","cc23_0.seb"
"#01294","cc24_0.seb"
"#01295","cc25_0.seb"
"#01296","cc26_0.seb"
"#01297","cc27_0.seb"
"#01298","cc28_0.seb"
"#01299","cc29_0.seb"
"#01300","cc30_0.seb"
"#01301","d01_0.seb"
"#01302","d02_0.seb"
"#01303","d03_0.seb"
"#01304","d04_0.seb"
"#01305","d05_0.seb"
"#01306","d06_0.seb"
"#01307","d07_0.seb"
"#01308","d08_0.seb"
"#01309","d09_0.seb"
"#01310","d10_0.seb"
"#01311","d11_0.seb"
"#01312","d12_0.seb"
"#01313","d13_0.seb"
"#01314","d14_0.seb"
"#01315","d15_0.seb"
"#01316","d16_0.seb"
"#01317","d17_0.seb"
"#01318","d18_0.seb"
"#01319","d19_0.seb"
"#01320","d20_0.seb"
"#01321","d21_0.seb"
"#01322","d22_0.seb"
"#01323","d23_0.seb"
"#01324","d24_0.seb"
"#01325","d25_0.seb"
"#01326","e00_0.seb"
"#01327","e00_1.seb"
"#01328","e01_0.seb"
"#01329","e01_1.seb"
"#01330","e02_0.seb"
"#01331","e02_1.seb"
"#01332","e03_0.seb"
"#01333","e03_1.seb"
"#01334","e04_0.seb"
"#01335","e04_1.seb"
"#01336","e05_0.seb"
"#01337","e05_1.seb"
"#01338","f00_0.seb"
"#01339","f00_1.seb"
"#01340","f00_2.seb"
"#01341","f00_3.seb"
"#01342","g00_0.seb"
"#01343","g00_1.seb"
"#01344","g00_2.seb"
"#01345","g00_3.seb"
"#01346","g01_0.seb"
"#01347","g02_0.seb"
"#01348","g03_0.seb"
"#01349","h00_0.seb"
"#01350","h01_0.seb"
"#01351","h02_0.seb"
"#01352","h03_0.seb"
"#01353","h04_0.seb"
"#01354","h05_0.seb"
"#01355","h06_0.seb"
"#01356","h07_0.seb"
"#01357","h08_0.seb"
"#01358","h09_0.seb"
"#01359","h10_0.seb"
"#01360","h11_0.seb"
"#01361","h12_0.seb"
"#01362","h13_0.seb"
"#01363","h14_0.seb"
"#01364","h15_0.seb"
"#01365","h16_0.seb"
"#01366","h17_0.seb"
"#01367","h18_0.seb"
"#01368","h19_0.seb"
"#01369","h20_0.seb"
"#01370","h21_0.seb"
"#01371","h22_0.seb"
"#01372","h23_0.seb"
"#01373","h24_0.seb"
"#01374","h25_0.seb"
"#01375","h26_0.seb"
"#01376","h27_0.seb"
"#01377","h28_0.seb"
"#01378","h29_0.seb"
"#01379","h30_0.seb"
"#01380","i01_0.seb"
"#01381","i02_0.seb"
"#01382","i03_0.seb"
"#01383","i04_0.seb"
"#01384","j00_0.seb"
"#01385","j01_0.seb"
"#01386","j02_0.seb"
"#01387","j03_0.seb"
"#01388","j04_0.seb"
"#01389","j05_0.seb"
"#01390","j06_0.seb"
"#01391","j07_0.seb"
"#01392","j08_0.seb"
"#01393","j09_0.seb"
"#01394","j10_0.seb"
"#01395","j11_0.seb"
"#01396","j12_0.seb"
"#01397","j13_0.seb"
"#01398","j14_0.seb"
"#01399","j15_0.seb"
"#01400","j16_0.seb"
"#01401","j17_0.seb"
"#01402","j18_0.seb"
"#01403","j19_0.seb"
"#01404","j20_0.seb"
"#01405","j21_0.seb"
"#01406","j22_0.seb"
"# 01407", "Maintenant ouvert: <0>!"
"# 01408", "Bonjour tout le monde! Je travaille pour <0> en tant qu'assistant. <0> est un nouveau parc aquatique en banlieue. En fait, nous venons tout juste d'ouvrir, mais nous sommes le premier parc de ce genre dans la région. <br> J'ai réussi à interroger une résidente locale, lui demandant ce qu'elle pensait de <0>. <br> "" Un nouveau parc? Près de chez moi? Génial, je n'aurai pas à y aller. loin pour promener mon chien. "" <br> Euh ... <0> est un parc aquatique ... Avec des piscines et des toboggans, ce genre de choses. Bref, venez le voir, tout le monde! "
"# 01409", "Suivez-nous en ligne"
"# 01410", "Bonjour, c'est moi, l'assistant de <0>! J'ai créé un compte pour le parc aquatique sur les réseaux sociaux. Il est donc plus facile que jamais d'avoir les dernières nouvelles, y compris des informations sur toutes les nouvelles installations et attractions du parc! <br> Suivez-nous pour ne rien manquer! <br> Nous avons également une campagne promotionnelle spéciale en ce moment! Lors de l'achat de vos billets pour le parc, dites-le à notre personnel que vous nous avez suivis en ligne pour obtenir une serviette de visage gratuite! <br> Je vous attendrai dans <0>! À plusieurs reprises! "
«# 01411», «Gourmet au bord de la piscine»
"# 01412", "Bonjour, c'est encore moi, l'assistant de <0>! <br> Nous avons reçu beaucoup de commentaires de visiteurs nous demandant d'élargir le menu de nos stands de nourriture, et c'est exactement ce que nous avons fait! <br> De plus, le célèbre chef expérimental Duckie, qui est également chanteur folk à temps partiel, nous aidera avec les nouveaux menus! Venez nager, et de la bonne bouffe aussi! "
"# 01413", "L'été dans la baignade des choses"
"# 01414", "Bonjour à tous, j'espère que vous profitez autant du beau temps d'été que nous sommes ici en <0>! <br> Les vacances d'été ont commencé. Comment allez-vous les dépenser, les enfants? les montagnes, aller au bord de la mer? Mais vous n'avez pas besoin d'aller loin pour vous amuser. Venez simplement dans notre parc aquatique, où le plaisir est garanti! "
«# 01415», «Nage en plein air»
"# 01416", "Bonjour, c'est encore moi, l'assistante de <0>, qui vous apporte les dernières nouvelles de notre parc aquatique! <br> Nous avons maintenant une piscine extérieure! Rien de tel que de nager au soleil par beau temps. <br> Venez l'essayer. Vous en deviendrez accro! "
"# 01417", "True Colors"
"# 01418", "Bonjour à tous! Chez <0>, nous visons à apporter plus de couleur à votre vie et donc ... nous avons imaginé des piscines colorées! <br> Oui, c'est vrai! Maintenant, nous proposons des piscines en des couleurs vives et fraîches. Venez vivre une toute nouvelle expérience de natation! "
"# 01419", "Nagez dans l'arc-en-ciel"
"# 01420", "Bonjour, chers fans de <0>! Grande nouvelle aujourd'hui! <br> Par essais et erreurs, nous avons enfin découvert le secret pour teindre l'eau de piscine à la couleur de l'arc-en-ciel. C'est vrai, c'est tout. sept couleurs à la fois, scintillantes et merveilleuses comme une potion magique d'un conte de fées! <br> J'ai demandé à une athlète célèbre qui visitait notre parc aquatique ce qu'elle pensait de la piscine arc-en-ciel. <br> "" Pas de commentaire, "" répondit-elle . Eh bien! Même cette célébrité était si émerveillée qu'elle était perdue pour les mots! "
"# 01421", "Aller avec le courant"
"# 01422", "Bonjour les nageurs, les plongeurs, tous les amateurs de plaisirs aquatiques! <br> Vous avez parfois envie d'aller avec le courant, flotter sans effort sans flotteur? <br> Ai-je des nouvelles pour vous! Avec notre toute nouvelle piscine à jets, c'est exactement ce que vous pouvez faire! Laissez le courant vous porter ou, si vous êtes prêt pour un défi et un entraînement sérieux, essayez de nager contre lui! <br> Venez à <0> et découvrez le jet bassin!"
"# 01423", "Détendez-vous dans le bain à remous"
"# 01424", "Bonjour tout le monde! Comment ça va? Souffrez-vous de maux de dos en restant assis trop longtemps devant votre ordinateur? <br> Eh bien, venez à <0> et détendez-vous dans notre nouveau bain à remous! Laissez-vous masser par de puissants jets tous les nœuds dans votre dos. <br> Vous vous sentirez revigoré par la suite! Ou attendez, était-ce censé avoir un effet calmant? De toute façon, c'est vraiment bon pour vous! Viens l'essayer! "
"# 01425", "Sièges à louer"
"# 01426", "Bonjour à tous! Certains d'entre vous se sont plaints d'avoir du mal à trouver des places gratuites. <br> Vous êtes déjà revenu après avoir acheté une collation pour trouver votre place occupée par quelqu'un d'autre? Ou il semble que tout le monde a la même chose idée de sortir de la piscine pour un peu de repos? <br> Ne vous inquiétez plus! <0> propose désormais des places payantes. Louez une place pour une somme modique et c'est tout à vous pour la journée! Pas de stress, seulement du plaisir dans notre parc! "
"# 01427", "Glissement rapide"
"# 01428", "Bonjour à tous! Les diapositives sont vraiment ce qui fait un parc aquatique, n'est-ce pas? <br> <0> propose désormais un toboggan aquatique passionnant! C'est si rapide que vous hurlerez de joie, tout comme le garçon que j'ai interviewé le jour où nous avons dévoilé le nouveau toboggan aquatique. <br> "" C'était tellement rapide! J'ai bien aimé. Mais quand je suis allé SPLASH dans la piscine, j'ai avalé de l'eau de la piscine ... Et je ... je a fait pipi dans la piscine avant ... "" <br> Mon conseil est de ne jamais faire pipi dans une piscine! "
"# 01429", "Forever Summer"
"# 01430", "Bonjour, chers <0> visiteurs actuels et futurs! <br> Souhaitez-vous pouvoir partir en vacances sur une île tropicale? Mais le budget est serré? Maintenant, vous pouvez profiter de l'expérience à très bas prix, sans jamais quitter la ville! <br> <0> a tout ce qu'il faut, y compris un palmier qui transportera votre esprit et votre cœur vers une plage ensoleillée pendant que vous vous détendez au bord de la piscine, pour bronzer. "
"# 01431", "5 étoiles brillantes"
"# 01432", "Woohoo! <0> est maintenant officiellement un parc aquatique 5 étoiles! <br> Je tiens à remercier tous nos chers visiteurs qui ont bien voulu partager leurs commentaires et suggestions avec nous, nous permettant de nous améliorer et rendre le parc beaucoup plus amusant pour tout le monde. <br> Nous maintiendrons les normes élevées et ferons tout notre possible pour rester votre parc aquatique préféré! "
"# 01433", "Performance à ne pas manquer"
"# 01434", "Bonjour à tous! Êtes-vous allé à <0> dernièrement? <br> Vous avez peut-être remarqué que Kairobot exécute des tours d'eau dans notre parc. Ce n'est qu'une copie parmi tant d'autres de Kairobot, bien sûr. < br> Nous avons fait appel à un expert du feng shui, qui nous a dit avec conviction que le Kairobot performant augmentait votre chance avec de l'argent! Venez tester par vous-même si c'est vrai! "
"# 01435", "1 000 visiteurs!"
"# 01436", "Bonjour à tous! Plus tôt dans la journée, nous avons fêté notre millième visiteur à <0>! <br> La personne en question était un jeune étudiant qui est venu au parc aquatique avec sa maman. J'ai réussi à obtenir un court métrage interview! <br> "" J'étais un peu fauché cette semaine, alors j'ai traîné ma mère avec moi à la piscine et lui ai fait payer les billets ... Je suis tellement contente maintenant de l'avoir fait! "" <br> Nous a décidé de rembourser le billet, par sympathie pour la maman ... "
"# 01437", "10 000 visiteurs!"
"# 01438", "Bonjour tout le monde! Nous avons eu notre 10 000e visiteur, une dame qui est venue de la capitale! <br> Elle est venue avec son mari qui avait l'air plutôt désagréable et n'était pas trop content de tout le Mais ensuite, il s'est égayé lorsque nous avons offert à sa femme une caisse gratuite de noix de coco. <br> "" Il y a d'autres parcs aquatiques plus près de chez moi, mais mes amis ont insisté sur le fait que <0> est une toute autre histoire. J'ai décidé de venir ici et je n'ai pas été déçu! J'adore l'ambiance tropicale! "" <br> Nous faisons toujours de notre mieux pour dépasser les attentes de nos visiteurs! "
"# 01439", "100 000 visiteurs!"
"# 01440", "Bonjour à tous! C'est une belle journée pour nous à <0>, car nous venons d'avoir notre 100 000e visiteur! <br> Nous avons organisé une petite fête impromptue pour célébrer cette occasion, et nous avons offert tout le monde est présent avec un jeune marronnier d'Inde. <br> Le visiteur chanceux est un professeur d'arts ninja, âgé de 70 ans. <br> "" Je viens ici pour pratiquer l'art ancien de la course sur l'eau pour lequel mon clan est célèbre. ne fonctionnait que lorsque la température était bien en dessous de zéro, pour une raison quelconque ... Quoi qu'il en soit, merci pour le jeune arbre. Les marrons épineux seront utiles pour l'entraînement de mon petit-fils à courir sur les choses épineuses. "" <br> Nous a demandé au petit-fils de 7 ans s'il voulait aussi devenir ninja à l'avenir, mais il a dit qu'il aimerait être un pirate, en fait. "
"# 01441", "Renommée grandissante"
"# 01442", "Bonjour à tous! Grâce à votre mécénat, <0> a été inscrit dans la liste des 100 meilleurs parcs aquatiques du pays! <br> Continuez à visiter notre parc aquatique, s'il vous plaît! Que vous souhaitiez vous détendre ou vous recherchez une journée active, <0> est le meilleur endroit où aller! Rendez-vous au bord de la piscine! "
"# 01443", "Monter en grade"
"# 01444", "Bonjour à tous! Avez-vous suivi le classement des parcs aquatiques nationaux? <br> <0> a fait son entrée dans le top 10! Woohoo! <br> Nous l'avons annoncé via la sonorisation de notre parc et a demandé des commentaires aux visiteurs. <br> "" Désolé, je plongeais, qu'est-ce que c'était? "" a dit un jeune nageur. "" Oh, vous avez atteint le top 10? Ah. C'est cool, je suppose. "" < br> Nous sommes si heureux que vous soyez aussi enthousiasmés que nous par ce résultat phénoménal! "
"# 01445", "Top Water Park"
"# 01446", "Bonjour à tous! C'est une journée merveilleuse, et chez <0> nous sommes fous de joie et d'excitation! <br> <0> a été classé numéro 1 des parcs aquatiques du pays! <Br > Le président de la Pool Association a fait l'éloge de notre parc. <br> "" J'ai vu plus de parcs aquatiques que je ne me souviens. Aucun ne peut se comparer à <0>. Là encore, j'ai oublié à quoi ressemblaient les autres parcs en compétition ... "" <br> Ce qui compte, c'est que nous ayons obtenu un score complet et à en juger par les commentaires de nos visiteurs, c'était bien mérité! "
"# 01447", "= # 00554"
"# 01448", "Exaltant."
"# 01449", "Jaune"
"# 01450", "= # 01449"
"# 01451", "Revigorant."
"# 01452", "Citron vert"
"# 01453", "Relaxant."
"# 01454", "Vert"
"# 01455", "Rafraîchissant comme une promenade en forêt."
"# 01456", "= # 00552"
"# 01457", "Apaisant comme une mer douce."
"# 01458", "Violet"
"# 01459", "A une ambiance mystérieuse."
"# 01460", "= # 00550"
"# 01461", "Cutesy. Populaire auprès des jeunes filles."
"# 01462", "Rouge"
"# 01463", "Une couleur stimulante."
"# 01464", "Naturel"
"# 01465", "Pas de couleurs artificielles."
"# 01466", "Blanc"
«# 01467», «Milky».
"# 01468", "Arc-en-ciel"
"# 01469", "= # 01468"
"# 01470", "Un mélange de couleurs exaltant."
"# 01471", "nom00"
"# 01472", "Meilleurs, tendances et populaires"
"# 01473", "= MID (# 01471,1, -2) & '01'"
"# 01474", "Large & Wide & Big & Huge"
"# 01475", "= MID (# 01471,1, -2) & '02'"
"# 01476", "Chaud et chauffé et chaud et grillé"
"# 01477", "= MID (# 01471,1, -2) & '03'"
"# 01478", "Froid et rafraîchissant et froid et glacé"
"# 01479", "Sans parfum"
"# 01480", "Pas même un soupçon de chlore."
"# 01481", "Agrumes"
"# 01482", "Frais et apaisant."
"# 01483", "= # 00915"
"# 01484", "Doux, avec une pointe d'acidité."
"#01485","Tropical"
"# 01486", "Vous fait penser aux îles tropicales."
"# 01487", "Fruité"
"# 01488", "Délicieusement fruité."
"# 01489", "= # 00945"
"# 01490", "Riche et crémeux."
"# 01491", "= # 01068"
"# 01492", "Excitant et sensuel."
"# 01493", "Cookie"
"# 01494", "Alléchant."
"# 01495", "= # 00969"
"# 01496", "Vous réveille."
"# 01497", "Floral"
"# 01498", "Comme être dans une prairie fleurie."
"# 01499", "Pin"
"# 01500", "Odeur balsamique d'une forêt de pins."
"# 01501", "Marine"
"# 01502", "Parfum marin salé."
"# 01503", "Argent"
"# 01504", "Profit"
"# 01505", "= # 01503"
"# 01506", "Vous apporte fortune financière."
"# 01507", "Les fleurs fleurissent tout autour."
"# 01508", "Les piscines aux couleurs chaudes sont plus populaires pendant les saisons chaudes."
"# 01509", "Il y a tellement d'énergie dans l'air!"
"# 01510", "Les restaurants qui servent des boissons, des collations, des plats principaux et des desserts sont plus populaires!"
"# 01511", "J'ai entendu dire qu'il y avait des parfums qui stimulent votre chance!"
"# 01512", "Il fait vraiment chaud et ensoleillé!"
"# 01513", "Tout le monde veut aller nager en été."
"# 01514", "Les sièges payants sont ceux que vous pouvez louer pour une journée entière pour avoir rien que pour vous."
"# 01515", "Ajouter toutes les couleurs à une piscine peut avoir un effet intéressant."
"# 01516", "Beaucoup de bons plats de saison à l'automne!"
"# 01517", "Il fait de plus en plus frais chaque jour."
"# 01518", "Les restaurants affectent également l'odeur autour des piscines, vous savez."
"# 01519", "Les aliments à base de châtaignes sont plus populaires à l'automne."
"# 01520", "Certains articles ne peuvent être utilisés que dans les piscines et certains uniquement pour les aliments."
"# 01521", "Jingle bells, jingle bells ..."
"# 01522", "Brrr ... je veux m'envelopper dans une couverture."
"# 01523", "Les piscines de plus de 86 ° F / 30 ° C sont plus attrayantes en hiver."
"# 01524", "Cuisiner plusieurs fois peut conduire à trouver de nouvelles recettes!"
"# 01525", "Certains clients bizarres aiment en fait les aliments brûlés."
"# 01526", "Avec <0> & Avec mes copains & Avec <0> & Avec heureux <0> & Nous tous & Avec les gars habituels & Avec des amis & Avec mon ami <0>."
"# 01527", "À la piscine. & Au parc aquatique. & Au <0>. & Visite du divertissement <0>. & Profiter d'une journée au <0>. & Découvrir le populaire <0>. & Prendre un repas au < 0>. & Au fameux <0>. & Au renommé <0>. "
"# 01528", "Prendre des photos! & Inoubliable! & Génial! & Tellement relaxant! & C'est le meilleur! & Aimer. & Nous nous sommes beaucoup amusés. & Journée parfaite! & Ça fait du bien! Et l'heure de la photo!"
"# 01529", "Je ne peux pas en avoir assez! & Le meilleur parc aquatique de tous les temps! & C'est fantastique! & Mon parc aquatique préféré! & Revenez ici avec moi! & Je vais devoir revenir! & J'ai fait le bon choix en venant ici! & Absolument fabuleux! & Génial! ! & Je ne veux plus jamais partir! & Le meilleur endroit pour une journée! "
"# 01530", "<0> & Ceci <0> & Oui, <0>! & Le <0> ici"
"# 01531", "est vraiment bon! & Est délicieux! & Est délicieux! & Est le meilleur! & Est tellement plus chic! & Est addictivement bon! & Est ma nouvelle dépendance! & A dépassé mes attentes."
"# 01532", "est tellement bon! & A un goût divin. & Est délicieux! & Vaut la peine d'essayer. & Vous rendra accro! & Est le meilleur que j'ai eu. & Est charmant.
"# 01533", "Venez découvrir <br> notre nouveau <br> <0>!"
"# 01534", "Visitez notre parc aquatique <br> pour découvrir le nouveau <br> <0>!"
"# 01535", "Notre nouveau <0> <br> est parfait pour quand <br> vous voulez vous détendre!"
"# 01536", "Notre tout nouveau <br> <0> <br> est super confortable!"
"# 01537", "Nous avons le <br> <0>!"
"# 01538", "Nouveau maillot de bain! <br> <0>!"
"# 01539", "Nous sommes maintenant un parc aquatique <br> <0> étoiles!"
"# 01540", "Nous avons réussi le test de certification <br> <0> <br>!"
"# 01541", "La campagne <0> <br> est lancée! Ne la manquez pas!"
"# 01542", "Prendre beaucoup de photos! & Une journée inoubliable! & Woohoo! & Aujourd'hui c'est génial! & À bout de souffle de tout le plaisir! & Vraiment heureux d'être venu ici! & Les parcs aquatiques sont les meilleurs! & Faisons un plongeon! & C'est sympa ici . & Ça se passe à merveille! & Regardez ma pose cool! & Taa-daa! & Je suis arrivé en bus! & À quelques pas de chez moi! & J'adore venir ici! & Vous cherchez bien? "
